pt1_cam1_X,pt1_cam1_Y
449.525271,183.965704
451.030000,184.030000
452.170000,184.040000
453.230000,184.100000
454.070000,184.090000
455.100000,183.700000
455.400000,180.330000
455.870000,169.970000
454.190000,157.940000
453.150000,151.940000
451.550000,146.170000
450.920000,143.900000
449.880000,140.220000
448.520000,137.140000
446.550000,134.220000
444.840000,130.670000
444.170000,129.710000
443.030000,129.290000
442.140000,128.750000
441.310000,128.910000
438.370000,129.070000
435.040000,129.110000
431.560000,131.000000
430.390000,133.200000
430.310000,135.050000
429.450000,137.090000
427.670000,140.980000
424.910000,144.980000
421.670000,149.040000
418.520000,153.110000
410.536101,148.875451
397.090000,136.980000
383.640000,121.000000
373.050000,106.950000
364.070000,96.990000
356.380000,88.980000
350.610000,82.970000
345.820000,79.130000
344.800000,81.040000
342.370000,86.990000
341.530000,98.980000
351.090000,127.020000
358.660000,142.910000
357.290000,143.920000
361.070000,147.980000
364.530000,151.930000
369.340000,158.010000
374.160000,164.010000
379.410000,170.010000
385.560000,176.000000
390.320000,179.980000
395.580000,184.000000
399.330000,186.000000
403.140000,187.920000
406.950000,189.890000
409.140000,189.950000
411.200000,189.960000
412.740000,189.990000
414.490000,190.030000
416.590000,190.030000
420.530000,192.000000
424.130000,193.950000
425.610000,193.970000
426.900000,194.030000
427.830000,194.140000
428.600000,194.260000
428.490000,194.000000
429.110000,194.000000
430.190000,193.990000
430.880000,194.150000
432.710000,195.910000
434.370000,197.380000
435.750000,198.750000
435.940000,198.680000
436.140000,198.730000
436.700000,198.980000
437.340000,199.110000
437.850000,199.300000
437.990000,199.270000
438.040000,199.180000
438.240000,199.290000
438.770000,199.510000
439.520000,199.660000
439.910000,197.980000
440.230000,192.010000
441.570000,181.970000
438.740000,167.910000
434.270000,156.100000
434.860000,154.180000
436.790000,154.090000
438.200000,153.750000
439.880000,153.610000
440.720000,152.910000
434.620000,149.110000
431.430000,151.100000
428.980000,153.080000
427.000000,155.080000
425.380000,157.090000
422.140000,159.040000
419.180000,165.030000
415.210000,169.020000
410.350000,170.990000
394.470000,155.000000
381.380000,138.210000
370.090000,122.000000
367.210000,116.990000
362.250000,108.800000
358.960000,102.860000
355.920000,98.870000
353.800000,97.090000
350.340000,99.000000
351.460000,114.990000
354.840000,133.000000
360.450000,149.000000
365.740000,160.950000
368.960000,166.880000
372.860000,172.820000
375.690000,176.960000
378.070000,180.960000
379.650000,183.950000
381.090000,186.040000
385.050000,190.040000
389.890000,193.980000
393.330000,196.020000
397.160000,197.950000
401.260000,199.890000
403.310000,199.940000
405.050000,199.950000
406.400000,200.030000
407.770000,200.020000
408.910000,200.030000
410.230000,200.020000
411.820000,200.070000
413.390000,200.050000
416.740000,201.970000
420.010000,203.860000
421.220000,204.120000
423.350000,205.590000
423.710000,205.420000
423.990000,205.770000
424.160000,205.730000
424.420000,205.770000
425.060000,206.030000
425.890000,206.460000
426.860000,207.180000
426.900000,207.100000
427.560000,207.550000
428.030000,207.710000
428.740000,207.820000
428.880000,207.650000
429.580000,208.000000
429.280000,203.970000
429.860000,196.010000
431.340000,187.980000
431.140000,179.920000
430.880000,175.760000
431.030000,173.730000
430.490000,171.430000
428.940000,169.000000
428.040000,168.650000
427.080000,168.920000
425.040000,168.930000
422.550000,168.940000
419.970000,168.950000
417.180000,168.980000
414.420000,169.040000
411.080000,169.130000
409.370000,171.010000
405.930000,171.070000
402.910000,173.060000
400.580000,175.060000
399.040000,176.990000
397.060000,179.000000
392.810000,179.070000
390.100000,183.100000
386.860000,182.990000
381.000000,174.510000
373.580000,162.110000
365.100000,148.120000
351.550000,131.000000
342.070000,118.070000
341.100000,114.630000
339.830000,112.820000
339.000000,113.060000
335.860000,115.010000
336.770000,129.000000
339.820000,144.980000
345.040000,161.030000
349.870000,171.070000
354.460000,177.010000
356.520000,179.840000
358.740000,182.000000
361.330000,184.020000
363.960000,186.050000
369.190000,191.990000
373.230000,195.990000
377.570000,200.000000
380.740000,201.980000
384.060000,203.950000
386.110000,203.980000
388.060000,203.990000
389.730000,204.090000
390.870000,204.070000
392.210000,204.070000
395.440000,205.960000
398.820000,207.800000
400.580000,207.920000
402.160000,207.940000
403.470000,208.100000
405.340000,209.550000
406.340000,209.890000
407.340000,209.920000
408.370000,209.910000
409.390000,209.960000
410.120000,210.000000
410.990000,210.060000
411.770000,210.090000
412.470000,210.000000
413.680000,209.970000
415.110000,210.020000
415.740000,210.520000
416.850000,211.640000
417.490000,211.730000
417.950000,211.830000
418.300000,211.860000
419.000000,211.970000
419.720000,212.180000
419.780000,212.000000
419.990000,211.970000
420.150000,211.820000
419.870000,209.950000
420.450000,206.000000
419.640000,195.960000
419.630000,187.940000
418.690000,179.930000
416.790000,172.090000
418.770000,172.030000
418.070000,170.960000
417.400000,170.770000
415.750000,171.020000
413.330000,171.030000
410.680000,171.030000
407.990000,171.070000
405.250000,173.040000
403.550000,175.000000
401.980000,176.950000
399.540000,179.000000
397.660000,180.940000
395.980000,182.940000
393.560000,185.000000
391.700000,186.910000
388.560000,187.000000
386.610000,189.000000
386.080000,190.940000
385.820000,192.910000
383.480000,193.020000
374.160000,185.000000
365.330000,172.860000
354.200000,156.960000
346.000000,144.230000
337.220000,130.630000
332.610000,122.940000
327.020000,116.990000
323.560000,115.060000
319.860000,115.080000
316.840000,119.010000
318.550000,133.000000
320.720000,148.980000
326.590000,166.980000
334.250000,182.950000
336.990000,188.970000
340.770000,194.960000
343.310000,198.910000
346.290000,202.970000
346.650000,203.950000
349.280000,206.000000
353.170000,208.000000
357.750000,209.990000
361.260000,211.990000
364.140000,214.000000
366.460000,215.700000
367.270000,215.910000
368.210000,215.970000
369.250000,215.980000
370.900000,215.970000
372.510000,216.010000
374.160000,216.010000
376.020000,216.030000
378.830000,217.860000
381.840000,219.590000
383.020000,219.780000
383.900000,219.890000
384.950000,219.900000
385.950000,219.930000
386.990000,219.920000
388.150000,219.990000
389.180000,219.900000
390.370000,219.940000
392.050000,219.950000
393.670000,220.050000
395.680000,221.380000
396.980000,221.760000
397.720000,221.860000
398.660000,221.840000
399.750000,221.830000
400.850000,221.790000
402.010000,221.770000
403.110000,221.630000
404.090000,221.700000
403.910000,219.950000
404.600000,219.620000
405.800000,219.700000
406.220000,217.930000
404.490000,211.870000
403.300000,205.940000
403.810000,199.980000
403.330000,191.950000
403.220000,185.910000
403.000000,179.900000
403.480000,176.000000
403.160000,171.760000
398.990000,166.940000
395.620000,165.010000
392.330000,162.970000
389.470000,161.060000
387.920000,160.990000
385.930000,160.950000
383.830000,160.950000
380.440000,160.980000
377.380000,160.970000
375.370000,160.980000
372.990000,161.050000
371.240000,161.140000
369.990000,161.260000
369.390000,161.300000
369.200000,161.460000
368.770000,161.300000
368.570000,163.100000
367.630000,163.190000
368.050000,164.920000
366.620000,165.120000
366.640000,166.980000
365.970000,168.970000
365.050000,170.950000
364.080000,172.950000
363.530000,174.920000
362.810000,176.910000
361.270000,178.930000
359.700000,180.940000
357.260000,181.000000
354.870000,181.080000
352.000000,181.150000
346.853791,181.366426
344.254513,176.167870
332.557762,150.175090
319.561372,138.478339
319.561372,134.579422
311.763538,125.481949
306.564982,121.583032
309.164260,129.380866
307.864621,138.478339
307.864621,157.972924
311.763538,174.868231
319.561372,186.564982
319.561372,191.763538
321.950000,195.990000
324.430000,199.950000
327.080000,203.900000
330.220000,207.910000
333.850000,212.040000
337.010000,214.760000
339.390000,215.070000
343.060000,214.980000
346.500000,215.000000
350.570000,217.000000
353.750000,216.970000
358.520000,216.990000
360.880000,215.040000
362.300000,214.990000
364.180000,216.310000
365.740000,216.940000
366.770000,217.080000
367.340000,216.990000
368.130000,217.040000
369.020000,217.130000
370.020000,217.180000
372.000000,218.780000
373.030000,219.170000
373.870000,219.060000
374.580000,219.050000
374.980000,219.130000
375.910000,219.750000
376.810000,220.240000
377.810000,220.830000
378.420000,220.930000
378.920000,220.890000
379.440000,220.880000
380.040000,220.880000
380.990000,220.910000
381.880000,220.930000
382.790000,220.940000
383.810000,220.920000
384.820000,220.920000
384.440000,219.000000
385.590000,218.960000
386.480000,217.000000
384.170000,208.990000
382.390000,201.000000
381.300000,192.910000
381.300000,184.850000
382.840000,180.980000
383.230000,177.020000
382.730000,172.980000
382.670000,170.980000
381.340000,167.000000
380.660000,164.900000
379.830000,163.710000
378.840000,162.860000
377.360000,161.630000
375.920000,160.290000
373.810000,158.210000
372.120000,157.940000
370.840000,158.010000
369.820000,157.970000
368.440000,158.000000
368.000000,158.390000
367.070000,157.040000
365.960000,156.050000
364.350000,155.950000
363.590000,157.920000
361.970000,158.030000
361.080000,157.840000
360.330000,157.870000
358.890000,157.950000
356.550000,158.000000
355.260000,159.930000
353.580000,160.000000
353.360000,161.910000
353.380000,163.930000
353.470000,166.000000
351.790000,166.020000
351.080000,167.970000
350.040000,170.000000
348.990000,172.030000
347.770000,174.030000
345.770000,176.030000
345.554152,174.868231
342.390000,174.840000
332.980000,162.390000
324.340000,150.850000
317.060000,138.800000
310.130000,129.370000
308.420000,128.880000
306.680000,128.990000
303.080000,129.030000
306.564982,150.175090
310.510000,166.000000
315.000000,180.000000
318.860000,190.000000
322.030000,198.040000
324.880000,204.090000
328.070000,210.170000
331.620000,216.980000
336.880000,222.940000
340.840000,226.780000
342.250000,226.970000
345.550000,229.010000
347.230000,230.940000
349.450000,232.980000
350.960000,234.830000
352.980000,236.980000
355.180000,238.980000
357.770000,240.970000
359.760000,242.960000
361.240000,244.110000
361.330000,244.290000
361.640000,244.010000
361.200000,243.740000
360.980000,243.960000
361.600000,245.870000
362.680000,248.070000
363.220000,249.830000
363.930000,251.870000
364.640000,254.000000
365.210000,255.280000
365.400000,256.130000
366.030000,257.790000
365.850000,258.010000
371.546931,267.142599
372.900000,268.990000
373.910000,270.890000
374.780000,272.710000
374.930000,273.490000
375.440000,275.080000
376.250000,276.900000
376.980000,277.560000
378.240000,276.620000
376.290000,268.270000
374.510000,262.060000
373.900000,258.060000
373.510000,253.960000
373.640000,251.880000
373.270000,249.850000
372.130000,247.970000
371.050000,247.360000
369.840000,246.840000
367.740000,246.920000
366.620000,246.910000
365.690000,246.620000
364.210000,246.140000
363.170000,246.620000
361.800000,246.970000
359.770000,247.030000
358.270000,247.160000
357.360000,247.150000
356.880000,247.740000
355.730000,248.920000
353.430000,249.220000
352.270000,251.080000
351.970000,252.900000
350.160000,253.170000
349.070000,254.740000
347.660000,255.160000
346.640000,256.960000
345.030000,258.730000
343.030000,259.090000
340.510000,259.180000
338.110000,259.610000
337.160000,260.140000
336.070000,261.020000
337.330000,260.220000
338.220000,253.970000
332.557762,229.453069
330.950000,214.990000
325.520000,198.980000
323.460289,200.861011
320.340000,198.800000
317.050000,197.880000
314.980000,201.070000
310.010000,202.950000
312.660000,218.980000
316.990000,235.010000
325.650000,255.000000
333.150000,270.370000
333.380000,274.130000
336.500000,280.100000
337.980000,284.000000
339.470000,288.000000
342.380000,293.950000
344.500000,298.040000
347.230000,301.980000
351.040000,305.970000
353.500000,308.080000
357.370000,312.000000
359.420000,314.070000
360.940000,315.990000
362.930000,318.070000
